,type,geometry-type,geometry-coordinates-0,geometry-coordinates-1,properties-jaar,properties-klooster_id,properties-orde,properties-regel,properties-orde_en,properties-symbol,properties-idL,properties-ST,properties-KR,properties-TI,properties-TIE
345,Feature,Point,3.614649631,51.49992908,1518,M28,norbertijnen,regel van Augustinus,s,http://geoplaza.vu.nl/projects/kloosters/svg/square_m_1.svg,M28,norbertijnen,regel van Augustinus,"Middelburg, Norbertijnen: OLV-abdij","Middelburg, Premonstratensians: OLV-abdij"
346,Feature,Point,3.613362191,51.5004825,1518,M29,observante franciscanen,regel van Franciscus,s,http://geoplaza.vu.nl/projects/kloosters/svg/star_m_2.svg,M29,observante franciscanen,regel van Franciscus,"Middelburg, Franciscanen","Middelburg, Friars Minor"
347,Feature,Point,3.613222851,51.50234021,1518,M30,begijnen,geen,c,http://geoplaza.vu.nl/projects/kloosters/svg/circle_f_5.svg,M30,begijnen,geen,"Middelburg, Begijnhof","Middelburg, Beguinage"
348,Feature,Point,3.612426338,51.5012624,1518,M31,Duitse Orde,regel van de Duitse Orde,t,http://geoplaza.vu.nl/projects/kloosters/svg/triangleUp_m_3.svg,M31,Duitse Orde,regel van de Duitse Orde,"Middelburg, Duitse Orde","Middelburg, Teutonic Order"
349,Feature,Point,3.615460803,51.50125024,1518,M33,tertianen,derde regel van Franciscus,t,http://geoplaza.vu.nl/projects/kloosters/svg/triangleUp_m_2.svg,M33,tertianen,derde regel van Franciscus,"Middelburg, Tertianen","Middelburg, Male Tertiaries"
350,Feature,Point,3.607496759,51.49813929,1518,M34,augustijner eremieten,regel van Augustinus,r,http://geoplaza.vu.nl/projects/kloosters/svg/rectV_m_1.svg,M34,augustijner eremieten,regel van Augustinus,"Middelburg, Augustijner eremieten","Middelburg, Austin Friars"
351,Feature,Point,3.614001995,51.4964955,1518,M35,johannieters,johannieterregel,c,http://geoplaza.vu.nl/projects/kloosters/svg/circle_m_3.svg,M35,johannieters,johannieterregel,"Middelburg, Johannieters","Middelburg, Knights Hospitaller"
352,Feature,Point,3.609969117,51.49921123,1518,M36,cellebroeders,regel van Augustinus,s,http://geoplaza.vu.nl/projects/kloosters/svg/star_m_1.svg,M36,cellebroeders,regel van Augustinus,"Middelburg, Cellebroeders","Middelburg, Alexians"
353,Feature,Point,3.612790594,51.49702011,1518,M37,tertiarissen,derde regel van Franciscus,t,http://geoplaza.vu.nl/projects/kloosters/svg/triangleUp_f_2.svg,M37,tertiarissen,derde regel van Franciscus,"Middelburg, Tertiarissen: Bacht 's Gravenhove","Middelburg, Tertiaries: Bacht 's Gravenhove"
354,Feature,Point,3.612338075,51.49995529,1518,M38,cellezusters,regel van Augustinus,s,http://geoplaza.vu.nl/projects/kloosters/svg/star_f_1.svg,M38,cellezusters,regel van Augustinus,"Middelburg, Cellezusters: Bachtensteene","Middelburg, Alexian Sisters: Bachtensteene"
355,Feature,Point,7.006388889,53.20333333,1518,M39,cisterciënzerinnen,regel van Benedictus,c,http://geoplaza.vu.nl/projects/kloosters/svg/circle_f_0.svg,M39,cisterciënzerinnen,regel van Benedictus,"Midwolda, Cisterciënzerinnen","Midwolda, Cistercian Nuns"
356,Feature,Point,5.034258303,52.456543,1518,M40,tertiarissen,derde regel van Franciscus,t,http://geoplaza.vu.nl/projects/kloosters/svg/triangleUp_f_2.svg,M40,tertiarissen,derde regel van Franciscus,"Monnickendam, Tertiarissen: Mariëngaarde","Monnickendam, Tertiaries: Mariëngaarde"
357,Feature,Point,5.003836642,52.46645916,1518,M41,cisterciënzers,regel van Benedictus,c,http://geoplaza.vu.nl/projects/kloosters/svg/circle_m_0.svg,M41,cisterciënzers,regel van Benedictus,"Broek in Waterland, Cisterciënzers: Galilaea Minor","Broek in Waterland, Cistercians: Galilaea Minor"
358,Feature,Point,4.235017136,52.05071499,1518,M42,cisterciënzerinnen,regel van Benedictus,c,http://geoplaza.vu.nl/projects/kloosters/svg/circle_f_0.svg,M42,cisterciënzerinnen,regel van Benedictus,"Monster, Cisterciënzerinnen: Loosduinen","Monster, Cistercian Nuns: Loosduinen"
359,Feature,Point,6.094474682,53.36033838,1518,M44,norbertinessen,regel van Augustinus,s,http://geoplaza.vu.nl/projects/kloosters/svg/square_f_1.svg,M44,norbertinessen,regel van Augustinus,"Morra, Norbertinessen","Morra, Premonstratensian Canonesses"
360,Feature,Point,5.067895213,52.32791779,1518,M45,tertiarissen,derde regel van Franciscus,t,http://geoplaza.vu.nl/projects/kloosters/svg/triangleUp_f_2.svg,M45,tertiarissen,derde regel van Franciscus,"Muiden, Tertiarissen: Catharina","Muiden, Tertiaries: Catharina"
361,Feature,Point,5.164722222,52.2975,1518,N01,tertiarissen,derde regel van Franciscus,t,http://geoplaza.vu.nl/projects/kloosters/svg/triangleUp_f_2.svg,N01,tertiarissen,derde regel van Franciscus,"Naarden, Tertiarissen: OLV","Naarden, Tertiaries: OLV"
362,Feature,Point,5.209166667,52.31,1518,N02,regulieren van Windesheim,regel van Augustinus,c,http://geoplaza.vu.nl/projects/kloosters/svg/circleW_m_1.svg,N02,regulieren van Windesheim,regel van Augustinus,"Naarden, Regulieren: Vitus","Naarden, Canons Regular: Vitus"
363,Feature,Point,5.511044103,51.4979697,1518,N03,regularissen,regel van Augustinus,c,http://geoplaza.vu.nl/projects/kloosters/svg/circle_f_1.svg,N03,regularissen,regel van Augustinus,"Nederwetten, Regularissen: Hooidonk","Nederwetten, Canonesses Regular: Hooidonk"
