,type,geometry-type,geometry-coordinates-0,geometry-coordinates-1,properties-jaar,properties-klooster_id,properties-orde,properties-regel,properties-orde_en,properties-symbol,properties-idL,properties-ST,properties-KR,properties-TI,properties-TIE
404,Feature,Point,6.764650736,52.37346123,1518,O15,regulieren van Windesheim,regel van Augustinus,c,http://geoplaza.vu.nl/projects/kloosters/svg/circleW_m_1.svg,O15,regulieren van Windesheim,regel van Augustinus,"Ootmarsum, Regulieren: Albergen","Ootmarsum, Canons Regular: Albergen"
405,Feature,Point,5.633963322,51.93364957,1518,O16,regularissen,regel van Augustinus,c,http://geoplaza.vu.nl/projects/kloosters/svg/circle_f_1.svg,O16,regularissen,regel van Augustinus,"Opheusden, Regularissen: Mariëngaard","Opheusden, Canonesses Regular: Mariëngaard"
406,Feature,Point,4.768714635,52.63710423,1518,O17,karmelieten,regel van de karmelieten,c,http://geoplaza.vu.nl/projects/kloosters/svg/circle_m_4.svg,O17,karmelieten,regel van de karmelieten,"Oudorp, Karmelieten","Oudorp, Carmelites"
407,Feature,Point,4.873695065,52.02121058,1518,O18,johannieters,johannieterregel,c,http://geoplaza.vu.nl/projects/kloosters/svg/circle_m_3.svg,O18,johannieters,johannieterregel,"Oudewater, Johannieters","Oudewater, Knights Hospitaller"
408,Feature,Point,4.872911073,52.02150979,1518,O19,tertiarissen,derde regel van Franciscus,t,http://geoplaza.vu.nl/projects/kloosters/svg/triangleUp_f_2.svg,O19,tertiarissen,derde regel van Franciscus,"Oudewater, Tertiarissen: Ursula","Oudewater, Tertiaries: Ursula"
409,Feature,Point,4.873124714,52.02351434,1518,O20,cellezusters,regel van Augustinus,s,http://geoplaza.vu.nl/projects/kloosters/svg/star_f_1.svg,O20,cellezusters,regel van Augustinus,"Oudewater, Cellezusters: Nieuwe Convent","Oudewater, Alexian Sisters: Nieuwe Convent"
410,Feature,Point,5.136397368,51.72980117,1518,O21,begijnen,geen,c,http://geoplaza.vu.nl/projects/kloosters/svg/circle_f_5.svg,O21,begijnen,geen,"Oudheusden, Begijnhof","Oudheusden, Beguinage"
411,Feature,Point,5.151111111,51.70416667,1518,O22,cisterciënzers,regel van Benedictus,c,http://geoplaza.vu.nl/projects/kloosters/svg/circle_m_0.svg,O22,cisterciënzers,regel van Benedictus,"Oudheusden, Cisterciënzers: Mariëndonk","Oudheusden, Cistercians: Mariëndonk"
412,Feature,Point,5.85087456,53.2759481,1518,O23,norbertinessen,regel van Augustinus,s,http://geoplaza.vu.nl/projects/kloosters/svg/square_f_1.svg,O23,norbertinessen,regel van Augustinus,"Oudkerk, Norbertinessen: Bethlehem","Oudkerk, Premonstratensian Canonesses: Bethlehem"
413,Feature,Point,6.11004549,53.26477629,1518,O24,norbertinessen,regel van Augustinus,s,http://geoplaza.vu.nl/projects/kloosters/svg/square_f_1.svg,O24,norbertinessen,regel van Augustinus,"Oudwoude, Norbertinessen: Veenklooster","Oudwoude, Premonstratensian Canonesses: Veenklooster"
414,Feature,Point,5.523055556,53.06083333,1518,P02,norbertijnen,regel van Augustinus,s,http://geoplaza.vu.nl/projects/kloosters/svg/square_m_1.svg,P02,norbertijnen,regel van Augustinus,"Pingjum, Norbertijnen: 't Zandt","Pingjum, Premonstratensians: 't Zandt"
415,Feature,Point,3.617188656,51.57664109,1518,P03,regulieren van Sion,regel van Augustinus,c,http://geoplaza.vu.nl/projects/kloosters/svg/circleS_m_1.svg,P03,regulieren van Sion,regel van Augustinus,"Vrouwenpolder, Regulieren: Heilig Graf","Vrouwenpolder, Canons regular: Heilig Graf"
416,Feature,Point,5.745678986,53.09007292,1518,P04,zusters,geen,s,http://geoplaza.vu.nl/projects/kloosters/svg/square_f_5.svg,P04,zusters,geen,"Poppingawier, Tertiarissen: Engwerd","Poppingawier, Tertiaries: Engwerd"
417,Feature,Point,4.772981311,51.58114038,1518,P05,regularissen,regel van Augustinus,c,http://geoplaza.vu.nl/projects/kloosters/svg/circle_f_1.svg,P05,regularissen,regel van Augustinus,"Princenhage, Regularissen: Vredenberg","Princenhage, Canonesses Regular: Vredenberg"
418,Feature,Point,4.949166667,52.50888889,1518,P06,tertiarissen,derde regel van Franciscus,t,http://geoplaza.vu.nl/projects/kloosters/svg/triangleUp_f_2.svg,P06,tertiarissen,derde regel van Franciscus,"Purmerend, Tertiarissen: Ursula","Purmerend, Tertiaries: Ursula"
419,Feature,Point,4.860207917,51.68945541,1518,R02,kartuizers,kartuizerregel,s,http://geoplaza.vu.nl/projects/kloosters/svg/square_m_4.svg,R02,kartuizers,kartuizerregel,"Raamsdonk, Kartuizers: Het Hollandse Huis","Raamsdonk, Carthusians: Het Hollandse Huis"
420,Feature,Point,7.098932946,53.30812285,1518,R03,dominicanessen,regel van Augustinus,d,http://geoplaza.vu.nl/projects/kloosters/svg/diamond_f_1.svg,R03,dominicanessen,regel van Augustinus,"Reide, Dominicanessen","Reide, Dominican Nuns"
421,Feature,Point,4.166994206,51.50016757,1518,R04,cellezusters,regel van Augustinus,s,http://geoplaza.vu.nl/projects/kloosters/svg/star_f_1.svg,R04,cellezusters,regel van Augustinus,"Reimerswaal, Cellezusters","Reimerswaal, Alexian Sisters"
422,Feature,Point,4.165650788,51.50020661,1518,R05,regulieren van Windesheim,regel van Augustinus,c,http://geoplaza.vu.nl/projects/kloosters/svg/circleW_m_1.svg,R05,regulieren van Windesheim,regel van Augustinus,"Reimerswaal, Regulieren: Paradijs","Reimerswaal, Canons Regular: Paradijs"
423,Feature,Point,5.725097095,51.97107356,1518,R07,regularissen van Windesheim,regel van Augustinus,c,http://geoplaza.vu.nl/projects/kloosters/svg/circleW_f_1.svg,R07,regularissen van Windesheim,regel van Augustinus,"Renkum, Regularissen","Renkum, Canonesses Regular"
424,Feature,Point,5.563595869,51.95784295,1518,R08,Duitse Orde,regel van de Duitse Orde,t,http://geoplaza.vu.nl/projects/kloosters/svg/triangleUp_m_3.svg,R08,Duitse Orde,regel van de Duitse Orde,"Rhenen, Duitse Orde","Rhenen, Teutonic Order"
425,Feature,Point,5.564214994,51.95774189,1518,R09,tertiarissen,derde regel van Franciscus,t,http://geoplaza.vu.nl/projects/kloosters/svg/triangleUp_f_2.svg,R09,tertiarissen,derde regel van Franciscus,"Rhenen, Tertiarissen: Agnes","Rhenen, Tertiaries: Agnes"
426,Feature,Point,4.443362031,52.18950828,1518,R10,benedictinessen,regel van Benedictus,s,http://geoplaza.vu.nl/projects/kloosters/svg/square_f_0.svg,R10,benedictinessen,regel van Benedictus,"Rijnsburg, Benedictinessenabdij","Rijnsburg, Abbey of Benedictine Nuns"
427,Feature,Point,4.326775511,52.01530108,1518,R12,regulieren van Sion,regel van Augustinus,c,http://geoplaza.vu.nl/projects/kloosters/svg/circleS_m_1.svg,R12,regulieren van Sion,regel van Augustinus,"Rijswijk, Regulieren: Sion","Rijswijk, Canons Regular: Sion"
428,Feature,Point,4.344104457,52.05484181,1518,R13,regularissen,regel van Augustinus,c,http://geoplaza.vu.nl/projects/kloosters/svg/circle_f_1.svg,R13,regularissen,regel van Augustinus,"Rijswijk, Regularissen: Nazareth","Rijswijk, Canonesses Regular: Nazareth"
429,Feature,Point,5.926545651,53.30752105,1518,R14,cisterciënzers,regel van Benedictus,c,http://geoplaza.vu.nl/projects/kloosters/svg/circle_m_0.svg,R14,cisterciënzers,regel van Benedictus,"Rinsumageest, Cisterciënzers: Klaarkamp","Rinsumageest, Cistercians: Klaarkamp"
430,Feature,Point,5.988694771,51.19344783,1518,R15,cisterciënzerinnen,regel van Benedictus,c,http://geoplaza.vu.nl/projects/kloosters/svg/circle_f_0.svg,R15,cisterciënzerinnen,regel van Benedictus,"Roermond, Cisterciënzerinnen: Munsterabdij","Roermond, Cistercian Nuns : Munsterabdij"
431,Feature,Point,5.98639069,51.19150654,1518,R16,franciscanen,regel van Franciscus,s,http://geoplaza.vu.nl/projects/kloosters/svg/square_m_2.svg,R16,franciscanen,regel van Franciscus,"Roermond, Franciscanen","Roermond, Friars Minor"
432,Feature,Point,5.991388889,51.19555556,1518,R17,tertiarissen,derde regel van Franciscus,t,http://geoplaza.vu.nl/projects/kloosters/svg/triangleUp_f_2.svg,R17,tertiarissen,derde regel van Franciscus,"Roermond, Tertiarissen: Godsweerd","Roermond, Tertiaries: Godsweerd"
433,Feature,Point,5.987362127,51.19131655,1518,R18,tertianen,derde regel van Franciscus,t,http://geoplaza.vu.nl/projects/kloosters/svg/triangleUp_m_2.svg,R18,tertianen,derde regel van Franciscus,"Roermond, Begarden: Theobald","Roermond, Beghards: Theobald"
434,Feature,Point,5.99037806,51.1967881,1518,R19,kartuizers,kartuizerregel,s,http://geoplaza.vu.nl/projects/kloosters/svg/square_m_4.svg,R19,kartuizers,kartuizerregel,"Roermond, Kartuizers: Bethlehem","Roermond, Carthusians: Bethlehem"
435,Feature,Point,5.991388889,51.19222222,1518,R20,kruisheren,regel van Augustinus,t,http://geoplaza.vu.nl/projects/kloosters/svg/triangleUp_m_1.svg,R20,kruisheren,regel van Augustinus,"Roermond, Kruisheren: Cornelius","Roermond, Croziers: Cornelius"
436,Feature,Point,5.985060683,51.19609463,1518,R21,cellebroeders,regel van Augustinus,s,http://geoplaza.vu.nl/projects/kloosters/svg/star_m_1.svg,R21,cellebroeders,regel van Augustinus,"Roermond, Cellebroeders","Roermond, Alexians"
437,Feature,Point,5.987844132,51.19556147,1518,R22,regulieren van Windesheim,regel van Augustinus,c,http://geoplaza.vu.nl/projects/kloosters/svg/circleW_m_1.svg,R22,regulieren van Windesheim,regel van Augustinus,"Roermond, Regulieren: Hieronymus","Roermond, Canons Regular: Hieronymus"
438,Feature,Point,5.990055799,51.19037554,1518,R23,regularissen van Venlo,regel van Augustinus,c,http://geoplaza.vu.nl/projects/kloosters/svg/circleV_f_1.svg,R23,regularissen van Venlo,regel van Augustinus,"Roermond, Regularissen: Mariagaarde","Roermond, Canonesses Regular: Mariagaarde"
439,Feature,Point,5.991870472,51.19421042,1518,R24,cellezusters,regel van Augustinus,s,http://geoplaza.vu.nl/projects/kloosters/svg/star_f_1.svg,R24,cellezusters,regel van Augustinus,"Roermond, Cellezusters: Godsboomgaard","Roermond, Alexian Sisters: Godsboomgaard"
440,Feature,Point,5.977222222,51.18361111,1518,R25,tertiarissen van Sint Dominicus,regel van Munio de Zamora,t,http://geoplaza.vu.nl/projects/kloosters/svg/triangleUp_f_4.svg,R25,tertiarissen van Sint-Dominicus,regel van Munio de Zamora,"Roermond, Tertiarissen van Sint Dominicus: Maria Wee","Roermond, Tertiaries of St Dominic: Maria Wee"
441,Feature,Point,5.991798618,51.19498136,1518,R26,begijnen,geen,c,http://geoplaza.vu.nl/projects/kloosters/svg/circle_f_5.svg,R26,begijnen,geen,"Roermond, Begijnen: Nieuwenhof","Roermond, Beguines: Nieuwenhof"
442,Feature,Point,6.564452294,52.99342777,1518,R27,cisterciënzerinnen,regel van Benedictus,c,http://geoplaza.vu.nl/projects/kloosters/svg/circle_f_0.svg,R27,cisterciënzerinnen,regel van Benedictus,"Rolde, Cisterciënzerinnen: Mariënkamp/ Assen","Rolde, Cistercian Nuns: Mariënkamp/ Assen"
443,Feature,Point,5.36918699,51.69928021,1518,R28,birgitten en birgittinessen,regel van Augustinus,t,http://geoplaza.vu.nl/projects/kloosters/svg/triangleDown_d_1.svg,R28,birgitten en birgittinessen,regel van Augustinus,"Rosmalen, Birgitten en birgittinessen: Coudewater","Rosmalen, Bridgettine double monastery: Coudewater"
444,Feature,Point,5.359435251,51.72242312,1518,R29,regularissen van Venlo,regel van Augustinus,c,http://geoplaza.vu.nl/projects/kloosters/svg/circleV_f_1.svg,R29,regularissen van Venlo,regel van Augustinus,"Rosmalen, Regularissen: Sint-Annenborg","Rosmalen, Canonesses Regular: Sint-Annenborg"
445,Feature,Point,5.348611111,51.8,1518,R30,zusters,geen,s,http://geoplaza.vu.nl/projects/kloosters/svg/square_f_5.svg,R30,zusters,geen,"Rossum, Zusters: Mariënakker","Rossum, Sisters: Mariënakker"
446,Feature,Point,4.483645137,51.92191675,1518,R31,begijnen,geen,c,http://geoplaza.vu.nl/projects/kloosters/svg/circle_f_5.svg,R31,begijnen,geen,"Rotterdam, Begijnhof","Rotterdam, Beguinage"
447,Feature,Point,4.487308862,51.92281763,1518,R32,tertiarissen,derde regel van Franciscus,t,http://geoplaza.vu.nl/projects/kloosters/svg/triangleUp_f_2.svg,R32,tertiarissen,derde regel van Franciscus,"Rotterdam, Tertiarissen: Agnes","Rotterdam, Tertiaries: Agnes"
448,Feature,Point,4.482617961,51.92280593,1518,R34,cellebroeders,regel van Augustinus,s,http://geoplaza.vu.nl/projects/kloosters/svg/star_m_1.svg,R34,cellebroeders,regel van Augustinus,"Rotterdam, Cellebroeders","Rotterdam, Alexians"
449,Feature,Point,4.492440983,51.92271843,1518,R35,dominicanen,regel van Augustinus,d,http://geoplaza.vu.nl/projects/kloosters/svg/diamond_m_1.svg,R35,dominicanen,regel van Augustinus,"Rotterdam, Dominicanen","Rotterdam, Dominicans"
450,Feature,Point,4.482300397,51.92159603,1518,R36,regularissen,regel van Augustinus,c,http://geoplaza.vu.nl/projects/kloosters/svg/circle_f_1.svg,R36,regularissen,regel van Augustinus,"Rotterdam, Regularissen: Agatha","Rotterdam, Canonesses Regular: Agatha"
451,Feature,Point,4.488544116,51.9234043,1518,R37,karmelitessen,regel van de karmelieten,c,http://geoplaza.vu.nl/projects/kloosters/svg/circle_f_4.svg,R37,karmelitessen,regel van de karmelieten,"Rotterdam, Karmelitessen","Rotterdam, Carmelite Sisters"
452,Feature,Point,4.485666004,51.92152227,1518,R38,cellezusters,regel van Augustinus,s,http://geoplaza.vu.nl/projects/kloosters/svg/star_f_1.svg,R38,cellezusters,regel van Augustinus,"Rotterdam, Cellezusters","Rotterdam, Alexian Sisters"
453,Feature,Point,6.62037765,53.38296603,1518,R39,benedictijnen,regel van Benedictus,s,http://geoplaza.vu.nl/projects/kloosters/svg/square_m_0.svg,R39,benedictijnen,regel van Benedictus,"Rottum, Benedictijnen: Juliana","Rottum, Benedictines: Juliana"
454,Feature,Point,4.154291718,51.8957935,1518,R40,regulieren van Windesheim,regel van Augustinus,c,http://geoplaza.vu.nl/projects/kloosters/svg/circleW_m_1.svg,R40,regulieren van Windesheim,regel van Augustinus,"Rugge, Regulieren: Elisabeth","Rugge, Canons Regular: Elisabeth"
455,Feature,Point,4.154894868,51.89417273,1518,R41,regularissen,regel van Augustinus,c,http://geoplaza.vu.nl/projects/kloosters/svg/circle_f_1.svg,R41,regularissen,regel van Augustinus,"Rugge, Regularissen: Sint-Andrieshuis","Rugge, Canonesses Regular: Sint-Andrieshuis"
456,Feature,Point,4.799377714,52.78698666,1518,S01,tertiarissen,derde regel van Franciscus,t,http://geoplaza.vu.nl/projects/kloosters/svg/triangleUp_f_2.svg,S01,tertiarissen,derde regel van Franciscus,"Schagen, Tertiarissen: Catharina","Schagen, Tertiaries: Catharina"
457,Feature,Point,6.704786076,53.20983322,1518,S02,kruisheren,regel van Augustinus,t,http://geoplaza.vu.nl/projects/kloosters/svg/triangleUp_m_1.svg,S02,kruisheren,regel van Augustinus,"Scharmer, Kruisheren: Helena","Scharmer, Croziers: Helena"
458,Feature,Point,5.696804611,53.07057637,1518,S03,cisterciënzerinnen,regel van Benedictus,c,http://geoplaza.vu.nl/projects/kloosters/svg/circle_f_0.svg,S03,cisterciënzerinnen,regel van Benedictus,"Scharnegoutum, Cisterciënzerinnen: Nijekleaster","Scharnegoutum, Cistercian Nuns: Nijekleaster"
459,Feature,Point,4.92499976,51.84206345,1518,S04,Duitse Orde,regel van de Duitse Orde,t,http://geoplaza.vu.nl/projects/kloosters/svg/triangleUp_m_3.svg,S04,Duitse Orde,regel van de Duitse Orde,"Schelluinen, Duitse Orde","Schelluinen, Teutonic Order"
460,Feature,Point,4.399772451,51.91717263,1518,S05,begijnen,geen,c,http://geoplaza.vu.nl/projects/kloosters/svg/circle_f_5.svg,S05,begijnen,geen,"Schiedam, Begijnhof","Schiedam, Beguinage"
461,Feature,Point,4.393295806,51.91835885,1518,S06,tertiarissen,derde regel van Franciscus,t,http://geoplaza.vu.nl/projects/kloosters/svg/triangleUp_f_2.svg,S06,tertiarissen,derde regel van Franciscus,"Schiedam, Tertiarissen: Ursula","Schiedam, Tertiaries: Ursula"
462,Feature,Point,4.402161396,51.91685063,1518,S07,kruisheren,regel van Augustinus,t,http://geoplaza.vu.nl/projects/kloosters/svg/triangleUp_m_1.svg,S07,kruisheren,regel van Augustinus,"Schiedam, Kruisheren","Schiedam, Croziers"
463,Feature,Point,4.399356403,51.91581984,1518,S08,tertiarissen,derde regel van Franciscus,t,http://geoplaza.vu.nl/projects/kloosters/svg/triangleUp_f_2.svg,S08,tertiarissen,derde regel van Franciscus,"Schiedam, Tertiarissen: Leliëndaal","Schiedam, Tertiaries: Leliëndaal"
464,Feature,Point,6.806032,53.227452,1518,S10,norbertinessen,regel van Augustinus,s,http://geoplaza.vu.nl/projects/kloosters/svg/square_f_1.svg,S10,norbertinessen,regel van Augustinus,"Schildwolde, Norbertinessen: Mariae Gratia","Schildwolde, Premonstratensian Canonesse: Mariae Gratia"
465,Feature,Point,4.853904238,51.94499869,1518,S11,karmelieten,regel van de karmelieten,c,http://geoplaza.vu.nl/projects/kloosters/svg/circle_m_4.svg,S11,karmelieten,regel van de karmelieten,"Schoonhoven parochie Willige, Karmelieten","Schoonhoven parish of Willige, Carmelites"
466,Feature,Point,4.850479259,51.94588297,1518,S12,Duitse Orde,regel van de Duitse Orde,t,http://geoplaza.vu.nl/projects/kloosters/svg/triangleUp_m_3.svg,S12,Duitse Orde,regel van de Duitse Orde,"Schoonhoven, Duitse Orde","Schoonhoven, Teutonic Order"
467,Feature,Point,4.851685407,51.9481121,1518,S13,cellebroeders,regel van Augustinus,s,http://geoplaza.vu.nl/projects/kloosters/svg/star_m_1.svg,S13,cellebroeders,regel van Augustinus,"Schoonhoven, Cellebroeders: Emmaüs","Schoonhoven, Alexians: Emmaüs"
468,Feature,Point,4.851687089,51.94731021,1518,S14,regularissen,regel van Augustinus,c,http://geoplaza.vu.nl/projects/kloosters/svg/circle_f_1.svg,S14,regularissen,regel van Augustinus,"Schoonhoven, Regularissen: Elisabeth","Schoonhoven, Canonesses Regular: Elisabeth"
469,Feature,Point,4.850769778,51.94443275,1518,S15,tertiarissen,derde regel van Franciscus,t,http://geoplaza.vu.nl/projects/kloosters/svg/triangleUp_f_2.svg,S15,tertiarissen,derde regel van Franciscus,"Schoonhoven, Tertiarissen: Agnes","Schoonhoven, Tertiaries: Agnes"
470,Feature,Point,5.961370337,52.92845755,1518,S16,Duitse Orde,regel van de Duitse Orde,t,http://geoplaza.vu.nl/projects/kloosters/svg/triangleUp_m_3.svg,S16,Duitse Orde,regel van de Duitse Orde,"Schoten, Duitse Orde: Nicolaas","Schoten, Teutonic Order: Nicholas"
471,Feature,Point,7.074997893,52.87636406,1518,S17,kruisheren,regel van Augustinus,t,http://geoplaza.vu.nl/projects/kloosters/svg/triangleUp_m_1.svg,S17,kruisheren,regel van Augustinus,"Sellingen, Kruisheren: Ter Apel","Sellingen, Croziers: Ter Apel"
472,Feature,Point,3.583339761,51.53847204,1518,S18,norbertinessen,regel van Augustinus,s,http://geoplaza.vu.nl/projects/kloosters/svg/square_f_1.svg,S18,norbertinessen,regel van Augustinus,"Serooskerke, Norbertinessen: Zoetendaal","Serooskerke, Premonstratensian Canonesses: Zoetendaal"
473,Feature,Point,5.970830975,53.14555877,1518,S19,regularissen,regel van Augustinus,c,http://geoplaza.vu.nl/projects/kloosters/svg/circle_f_1.svg,S19,regularissen,regel van Augustinus,"Siegerswoude, Regularissen","Siegerswoude, Canonesses Regular"
474,Feature,Point,4.102568928,51.60013863,1518,S20,kruisheren,regel van Augustinus,t,http://geoplaza.vu.nl/projects/kloosters/svg/triangleUp_m_1.svg,S20,kruisheren,regel van Augustinus,"Sint Annaland, Kruisheren","Sint Annaland, Croziers"
475,Feature,Point,5.842503572,50.77447507,1518,S22,sepulcrijnen,regel van Augustinus,I,http://geoplaza.vu.nl/projects/kloosters/svg/Ishape_m_1.svg,S22,sepulcrijnen,regel van Augustinus,"Sint Martensvoeren, Sepulcrijnen: Hoogcruts","Sint Martensvoeren, Canons regular of the Holy Sepulchre: Hoogcruts"
476,Feature,Point,5.998294041,51.14865232,1518,S25,sepulcrijnen,regel van Augustinus,I,http://geoplaza.vu.nl/projects/kloosters/svg/Ishape_m_1.svg,S25,sepulcrijnen,regel van Augustinus,"Sint Odiliënberg, Sepulcrijnen","Sint Odiliënberg, Canons Regular of the Holy Sepulchre"
477,Feature,Point,5.695115677,50.82558358,1518,S26,observante franciscanen,regel van Franciscus,s,http://geoplaza.vu.nl/projects/kloosters/svg/star_m_2.svg,S26,observante franciscanen,regel van Franciscus,"Sint Pieter, Franciscanen: Lichtenberg","Sint Pieter, Friars Minor : Lichtenberg"
478,Feature,Point,5.86705509,50.99868225,1518,S27,begijnen,geen,c,http://geoplaza.vu.nl/projects/kloosters/svg/circle_f_5.svg,S27,begijnen,geen,"Sittard, Begijnhof","Sittard, Beguinage"
479,Feature,Point,3.387097587,51.30735985,1518,S29,tertiarissen,derde regel van Franciscus,t,http://geoplaza.vu.nl/projects/kloosters/svg/triangleUp_f_2.svg,S29,tertiarissen,derde regel van Franciscus,"Sluis, Tertiarissen: OLV-gasthuis","Sluis, Tertiaries: OLV-Hospitaal"
480,Feature,Point,3.389973487,51.30793512,1518,S30,observante franciscanen,regel van Franciscus,s,http://geoplaza.vu.nl/projects/kloosters/svg/star_m_2.svg,S30,observante franciscanen,regel van Franciscus,"Sluis, Franciscanen","Sluis, Friars Minor"
481,Feature,Point,3.392534342,51.31034469,1518,S31,regularissen,regel van Augustinus,c,http://geoplaza.vu.nl/projects/kloosters/svg/circle_f_1.svg,S31,regularissen,regel van Augustinus,"Sluis, Regularissen: Maria Magdalena","Sluis, Canonesses Regular: Maria Magdalena"
482,Feature,Point,5.660833333,53.03916667,1518,S32,johannieter dubbelklooster,johannieterregel,c,http://geoplaza.vu.nl/projects/kloosters/svg/circle_d_3.svg,S32,johannieter dubbelklooster,johannieterregel,"Sneek, Johannieters: Hospitaal","Sneek, Knights Hospitaller: Hospitaal"
483,Feature,Point,5.677859981,53.03765974,1518,S33,tertiarissen,derde regel van Franciscus,t,http://geoplaza.vu.nl/projects/kloosters/svg/triangleUp_f_2.svg,S33,tertiarissen,derde regel van Franciscus,"Sneek, Tertiarissen: Groendijk","Sneek, Tertiaries: Groendijk"
484,Feature,Point,5.659334789,53.03326079,1518,S34,kruisheren,regel van Augustinus,t,http://geoplaza.vu.nl/projects/kloosters/svg/triangleUp_m_1.svg,S34,kruisheren,regel van Augustinus,"Sneek, Kruisheren","Sneek, Croziers"
485,Feature,Point,5.335,52.1625,1518,S35,regulieren van Windesheim,regel van Augustinus,c,http://geoplaza.vu.nl/projects/kloosters/svg/circleW_m_1.svg,S35,regulieren van Windesheim,regel van Augustinus,"Soest, Regulieren: Andrieskamp","Soest, Canons Regular: Andrieskamp"
486,Feature,Point,5.3164974,52.17402538,1518,S36,birgitten en birgittinessen,regel van Augustinus,t,http://geoplaza.vu.nl/projects/kloosters/svg/triangleDown_d_1.svg,S36,birgitten en birgittinessen,regel van Augustinus,"Soest, Birgitten en Birgittinessen","Soest, Bridgettine Monks and Nuns"
487,Feature,Point,5.360065171,52.88429594,1518,S38,regularissen,regel van Augustinus,c,http://geoplaza.vu.nl/projects/kloosters/svg/circle_f_1.svg,S38,regularissen,regel van Augustinus,"Stavoren, Regularissen","Stavoren, Canonesses Regular"
488,Feature,Point,5.851048482,51.06112514,1518,S40,seculiere kanunnikessen,geen,d,http://geoplaza.vu.nl/projects/kloosters/svg/diamond_f_5.svg,S40,seculiere kanunnikessen,geen,"Susteren, Benedictinessen / Seculier stift: Salvator","Susteren, Benedictine Nuns / Secular chapter: Salvator"
489,Feature,Point,7.033871849,53.28579354,1518,T01,cisterciënzers,regel van Benedictus,c,http://geoplaza.vu.nl/projects/kloosters/svg/circle_m_0.svg,T01,cisterciënzers,regel van Benedictus,"Termunten, Cisterciënzers: Boskamp","Termunten, Cistercians: Boskamp"
490,Feature,Point,6.649855002,53.26794028,1518,T02,benedictijnen en benedictinessen,regel van Benedictus,s,http://geoplaza.vu.nl/projects/kloosters/svg/square_d_0.svg,T02,benedictijnen en benedictinessen,regel van Benedictus,"Thesinge, Benedictijner dubbelklooster: Germania","Thesinge, Benedictine double monastery: Germania"
491,Feature,Point,5.841955343,51.16038504,1518,T03,seculiere kanunnikessen,geen,d,http://geoplaza.vu.nl/projects/kloosters/svg/diamond_f_5.svg,T03,seculiere kanunnikessen,geen,"Thorn, Damesstift","Thorn, Abbey / Collegiate Church of Secular Canonesses"
492,Feature,Point,5.841422503,51.1608385,1518,T04,begijnen,geen,c,http://geoplaza.vu.nl/projects/kloosters/svg/circle_f_5.svg,T04,begijnen,geen,"Thorn, Begijnen","Thorn, Beguines"
493,Feature,Point,5.431291288,51.88736598,1518,T06,Duitse Orde,regel van de Duitse Orde,t,http://geoplaza.vu.nl/projects/kloosters/svg/triangleUp_m_3.svg,T06,Duitse Orde,regel van de Duitse Orde,"Tiel, Duitse Orde: Mariënschoot","Tiel, Teutonic Order: Mariënschoot"
494,Feature,Point,5.436759154,51.8855925,1518,T07,tertiarissen,derde regel van Franciscus,t,http://geoplaza.vu.nl/projects/kloosters/svg/triangleUp_f_2.svg,T07,tertiarissen,derde regel van Franciscus,"Tiel, Tertiarissen: Agnes","Tiel, Tertiaries: Agnes"
495,Feature,Point,5.438539937,51.88554412,1518,T08,cellebroeders,regel van Augustinus,s,http://geoplaza.vu.nl/projects/kloosters/svg/star_m_1.svg,T08,cellebroeders,regel van Augustinus,"Tiel, Cellebroeders","Tiel, Alexians"
496,Feature,Point,5.435141544,51.88605091,1518,T09,regularissen,regel van Augustinus,c,http://geoplaza.vu.nl/projects/kloosters/svg/circle_f_1.svg,T09,regularissen,regel van Augustinus,"Tiel, Regularissen: Caecilia","Tiel, Canonesses Regular: Caecilia"
497,Feature,Point,5.636604504,53.05308943,1518,T10,regulieren van Windesheim,regel van Augustinus,c,http://geoplaza.vu.nl/projects/kloosters/svg/circleW_m_1.svg,T10,regulieren van Windesheim,regel van Augustinus,"Tirns, Regulieren: Thabor","Tirns, Canons Regular Thabor"
498,Feature,Point,5.523333333,53.23277778,1518,T13,norbertijnen,regel van Augustinus,s,http://geoplaza.vu.nl/projects/kloosters/svg/square_m_1.svg,T13,norbertijnen,regel van Augustinus,"Tzummarum, Norbertijnen: Mariëndaal / Lidlum","Tzummarum, Premonstratensians: Mariëndaal / Lidlum"
499,Feature,Point,5.57081993,53.22902966,1518,T14,regularissen,regel van Augustinus,c,http://geoplaza.vu.nl/projects/kloosters/svg/circle_f_1.svg,T14,regularissen,regel van Augustinus,"Tzummarum, Regularissen: Bethanië","Tzummarum, Canonesses Regular: Bethanië"
500,Feature,Point,6.613566742,53.39954832,1518,U01,johannieter nonnen,johannieterregel,c,http://geoplaza.vu.nl/projects/kloosters/svg/circle_f_3.svg,U01,johannieter nonnen,johannieterregel,"Usquert, Johannieter nonnen: Wijtwerd","Usquert, Hospitaller Nuns: Wijtwerd"
501,Feature,Point,5.123216288,52.08946837,1518,U02,benedictijnen,regel van Benedictus,s,http://geoplaza.vu.nl/projects/kloosters/svg/square_m_0.svg,U02,benedictijnen,regel van Benedictus,"Utrecht, Benedictijnen: Paulus","Utrecht, Benedictines: Paul"
